store,tphw 2019-P08,tphw 2019-P07,tphw 2018-P08
Alberta,4.76180534467051,4.76180534467051,
anjou,6.82685512367491,6.82685512367491,
bayshore,5.07101877123601,5.07101877123601,
British Columbia,2.89028583336227,2.89028583336227,
chicoutimi,6.45111215506853,6.45111215506853,
dix30,4.16738863914998,4.16738863914998,
eatonto,6.36838458668656,6.36838458668656,
Fairview,6.20950263962212,6.20950263962212,
gatineau,5.60212411129641,5.60212411129641,
GCA,6.13368033515298,6.13368033515298,
gcapitale,7.0800388852884,7.0800388852884,
GEA,2.72096317280453,2.72096317280453,
GMA,7.18077413866439,7.18077413866439,
GOA,5.56691249952563,5.56691249952563,
GQA,7.47575770037422,7.47575770037422,
Grand_Total,5.7556964663224,5.7556964663224,
GTA,5.26642661652716,5.26642661652716,
guildford,6.69850554050066,6.69850554050066,
GVA,2.89028583336227,2.89028583336227,
GWA,,,
laval,8.03429646317724,8.03429646317724,
limeridge,4.31887413183867,4.31887413183867,
Manitoba,,,
mapleview,4.65529735736026,4.65529735736026,
marketmall,6.13368033515298,6.13368033515298,
massonville,4.77517493154852,4.77517493154852,
mtltrust,8.27297457125961,8.27297457125961,
Ontario,5.27763242619919,5.27763242619919,
oshawa,5.15514477034801,5.15514477034801,
ottawa,5.99478447614665,5.99478447614665,
pacificcentre,,,
polopark,,,
Quebec,7.08461082592095,7.08461082592095,
REGIONAL_ON,4.77517493154852,4.77517493154852,
REGIONAL_QC,6.94549586193451,6.94549586193451,
rivieres,6.63642029166147,6.63642029166147,
scarborough,5.5385288966725,5.5385288966725,
sherbrooke,7.55895218462467,7.55895218462467,
sherway,5.11583425396145,5.11583425396145,
squareone,5.83455900999138,5.83455900999138,
stbruno,8.51662633324371,8.51662633324371,
stefoy,7.88373841142571,7.88373841142571,
uppercanada,4.48196405379362,4.48196405379362,
vaughan,4.80643123243502,4.80643123243502,
westedmonton,2.72096317280453,2.72096317280453,
