district,retail_orders 2019-Q3,retail_orders 2019-Q2,retail_orders 2018-Q3,webcs_orders 2019-Q3,webcs_orders 2019-Q2,webcs_orders 2018-Q3,total_orders 2019-Q3,total_orders 2018-Q3
British Columbia,810.0,47.0,14.0,156.0,95.0,144.0,966.0,158.0
Canada,28827.0,31856.0,22347.0,5148.0,4465.0,3599.0,33972.0,25941.0
Yukon,5.0,,,2.0,2.0,5.0,7.0,
Quebec,15010.0,19696.0,13297.0,2940.0,2893.0,2221.0,17950.0,15518.0
California,4.0,7.0,4.0,381.0,418.0,742.0,385.0,746.0
International,21.0,22.0,17.0,95.0,117.0,178.0,116.0,195.0
Nova Scotia,9.0,13.0,12.0,59.0,42.0,30.0,68.0,42.0
Rest of US,38.0,27.0,17.0,1255.0,1230.0,2203.0,1293.0,2220.0
Saskatchewan,9.0,4.0,1.0,34.0,29.0,32.0,43.0,33.0
Ontario,11044.0,11963.0,8986.0,1650.0,1174.0,925.0,12694.0,9911.0
Texas,3.0,,,135.0,153.0,263.0,138.0,
Alberta,1502.0,108.0,20.0,205.0,148.0,176.0,1707.0,196.0
New York,10.0,9.0,10.0,208.0,185.0,306.0,218.0,316.0
Prince Edward Island,,,,3.0,3.0,,,
New Brunswick,18.0,13.0,5.0,34.0,24.0,22.0,52.0,27.0
Manitoba,414.0,4.0,5.0,56.0,41.0,33.0,470.0,38.0
Rest of CAN,6.0,8.0,7.0,9.0,14.0,11.0,15.0,18.0
United States,55.0,43.0,31.0,1979.0,1986.0,3514.0,2034.0,3282.0
