store,tphw 2019-Q3,tphw 2019-Q2,tphw 2018-Q3
Alberta,0.0,0.0,
anjou,10.7305972943016,10.7305972943016,133.207150368034
bayshore,7.43056592504106,7.43056592504106,77.4921135646688
British Columbia,,,
chicoutimi,9.55613421915068,9.55613421915068,
dix30,8.78391125532958,8.78391125532958,84.1745531019979
eatonto,10.9687142519928,10.9687142519928,153.028391167192
Fairview,8.51190096937149,8.51190096937149,90.8412197686646
gatineau,13.8890687264893,13.8890687264893,
GCA,0.0,0.0,
gcapitale,10.4881278538813,10.4881278538813,79.416403785489
GEA,,,
GMA,10.8814370589384,10.8814370589384,
GOA,10.2722499058897,10.2722499058897,
GQA,11.7873075841003,11.7873075841003,
Grand_Total,8.29737459130473,8.29737459130473,1661.06729758149
GTA,7.86661240043114,7.86661240043114,539.363827549947
guildford,,,
GVA,,,
GWA,,,
laval,12.5778907474772,12.5778907474772,215.772870662461
limeridge,6.40955835550886,6.40955835550886,79.7423764458465
Manitoba,,,
mapleview,6.7334621341551,6.7334621341551,
marketmall,0.0,0.0,
massonville,7.17969840966857,7.17969840966857,45.5257623554153
mtltrust,11.6373862847123,11.6373862847123,238.575184016824
Ontario,7.96802184604944,7.96802184604944,739.290220820189
oshawa,6.49180768498505,6.49180768498505,57.6235541535226
ottawa,10.104949324469,10.104949324469,76.9085173501577
pacificcentre,,,
polopark,,,
Quebec,10.9159263564282,10.9159263564282,
REGIONAL_ON,7.17969840966857,7.17969840966857,
REGIONAL_QC,9.44291000052112,9.44291000052112,
rivieres,9.48970695083555,9.48970695083555,79.7896950578339
scarborough,8.66527911196499,8.66527911196499,78.2071503680336
sherbrooke,9.3189679614403,9.3189679614403,
sherway,8.68046919638355,8.68046919638355,96.6614090431125
squareone,7.17382353653515,7.17382353653515,
stbruno,11.5140473282127,11.5140473282127,
stefoy,13.2412912017716,13.2412912017716,
uppercanada,7.31144543593616,7.31144543593616,74.1009463722397
vaughan,5.03865073787772,5.03865073787772,
westedmonton,,,
