store,budget_dpt,dpt 2019-W36,dpt 2019-W35,dpt 2018-W36,budget_diff
guildford,196.20253164556962,160.43735294117647,182.37357142857144,,-18.228703984819735
bayshore,208.98823529411766,196.31404255319148,205.3065060240964,199.97134146341463,-6.064548429288017
sherbrooke,215.3090909090909,201.4990909090909,250.74012345679012,,-6.414034791420368
rivieres,214.6103896103896,190.865,203.8151724137931,208.3538888888889,-11.064417549167928
Alberta,348.73949579831935,183.02645933014355,212.5228272251309,,-47.517714071597396
polopark,266.6666666666667,166.55965517241378,186.82927083333334,,-37.54012931034483
gcapitale,215.4111111111111,190.22704761904762,210.0664,201.4475,-11.691162708442329
GVA,260.3305785123967,245.90116279069767,204.65322580645162,,-5.542727943890735
limeridge,209.53284671532847,180.6638888888889,181.08520833333333,178.8003092783505,-13.777771971790644
Grand_Total,219.8381471389646,180.95225606083125,198.52515113252116,177.81592884920732,-17.688418313293322
sherway,210.3014705882353,190.99,200.65555555555557,182.33032967032966,-9.182755847697633
vaughan,210.0873786407767,183.16321428571428,199.81170454545455,,-12.815698177232907
stbruno,215.3909090909091,221.23032085561496,237.22037037037038,,2.7110762424245434
oshawa,211.0958904109589,183.7146987951807,231.5424096385542,199.26655172413794,-12.970973315715815
GTA,209.87209302325581,210.84204522096607,202.51659427443238,195.57884691848906,0.46216349383945504
marketmall,577.7777777777778,202.32007142857142,205.70536764705884,,-64.98306456043956
squareone,209.77227722772278,193.40254716981133,199.79991304347826,,-7.803571698914696
uppercanada,209.43617021276594,197.3058064516129,202.20138613861386,242.1131884057971,-5.791914428548723
massonville,208.70886075949366,213.74117647058824,217.27320512820512,190.37833333333333,2.4111653394982446
REGIONAL_QC,215.2843137254902,172.80979079497908,222.05129032258066,208.3538888888889,-19.729501976010447
dix30,214.80620155038758,213.91148387096774,218.44769696969698,200.9424152542373,-0.41652320694753264
chicoutimi,215.69747899159663,208.4063888888889,195.11297872340427,,-3.380238905338251
laval,214.9251968503937,196.09478260869565,193.4024630541872,175.27138181818182,-8.76138047918394
GQA,215.12878787878788,200.61727699530516,209.46803921568628,201.4475,-6.745499301404086
Manitoba,266.6666666666667,206.1564367816092,150.9446875,,-22.69133620689655
GOA,211.76967930029156,147.79341137123745,194.6706167400881,185.53807106598984,-30.210305904243775
ottawa,210.20833333333334,197.1160655737705,208.7838961038961,175.24652173913043,-6.2282344148564555
British Columbia,260.3305785123967,245.90116279069767,139.69729032258064,,-5.542727943890735
gatineau,215.81578947368422,211.54650602409637,165.27507462686566,,-1.9782071830793482
mtltrust,214.95169082125605,182.3152380952381,182.04,171.7542786069652,-15.183157016037114
GEA,209.45945945945945,148.93623188405797,186.84727272727272,,-28.89496026180458
Ontario,209.78358208955223,200.3245054945055,194.06986410871303,192.60069518716577,-4.508968957832392
stefoy,214.8935185185185,188.88435185185185,208.8926923076923,,-12.103281125449728
anjou,215.43502824858757,198.1568309859155,200.6054961832061,163.847304964539,-8.020142965207588
scarborough,209.10638297872342,191.88886363636362,217.77278846153845,215.49015625,-8.233856421356421
GMA,215.01235584843494,187.86416981132075,204.2420717948718,182.9642927392019,-12.626337649288997
Quebec,215.12118226600984,108.45649465536307,156.98403950617285,172.03495382526955,-49.58353542272267
REGIONAL_ON,208.70886075949366,199.38011764705882,217.27320512820512,190.37833333333333,-4.46973984644804
GWA,266.6666666666667,206.1564367816092,186.82927083333334,,-22.69133620689655
eatonto,209.8923076923077,179.48725,195.33102325581396,184.08209150326797,-14.4860276332185
mapleview,209.82828282828282,194.1793023255814,206.30106796116505,,-7.457993885175188
westedmonton,209.45945945945945,177.78333333333333,186.84727272727272,,-15.122795698924731
pacificcentre,380.95238095238096,176.12032786885246,223.00117647058823,,-53.76841393442623
Fairview,214.29591836734693,192.49675925925925,187.64774509803922,218.58984375,-10.172456514416421
GCA,577.7777777777778,199.82807142857143,205.70536764705884,,-65.41437225274726
