store,budget_sales,sales 2019-W36,sales 2019-W35,sales 2018-W36,budget_diff
Alberta,41500.0,38252.53,40591.86,,-7.825228915662651
anjou,38132.0,28138.27,26279.32,23102.47,-26.208250288471625
bayshore,17764.0,18453.52,17040.44,16397.65,3.8815582076108983
British Columbia,31500.0,31721.25,21653.08,,0.7023809523809523
chicoutimi,25668.0,15005.26,9170.31,,-41.540984883902134
dix30,55420.0,33156.28,36043.87,47422.41,-40.1727174305305
eatonto,40929.0,43076.94,41996.17,28164.56,5.247965989884922
Fairview,21001.0,20789.65,19140.07,13989.75,-1.0063806485405458
gatineau,24603.0,17558.36,11073.43,,-28.633256106978823
GCA,26000.0,27975.93,27975.93,,7.599730769230769
gcapitale,38774.0,19973.84,21006.64,37872.13,-48.486511579924695
GEA,15500.0,10276.6,10276.6,,-33.69935483870968
GMA,261025.0,199136.02,199136.02,168693.07790554414,-23.70998180250934
GOA,72637.0,44190.23,44190.23,36551.0,-39.162919724107546
GQA,85191.0,42731.48,42731.48,37872.13,-49.840382199997656
Grand_Total,806806.0,798361.3537403875,738116.5119107137,473168.1866677407,-1.0466761848093038
GTA,216588.0,205149.31,205149.31,98376.16,-5.28131290745563
guildford,15500.0,10909.74,12766.15,,-29.61458064516129
GVA,31500.0,31721.25,31721.25,,0.7023809523809523
GWA,16000.0,17935.61,17935.61,,12.0975625
laval,54591.0,49611.98,39260.7,48199.63,-9.120587642651719
limeridge,28706.0,19511.7,17384.18,17343.63,-32.02919250330941
Manitoba,16000.0,17935.61,14490.69,,12.0975625
mapleview,20773.0,16699.42,21249.01,,-19.60997448611178
marketmall,26000.0,28324.81,27975.93,,8.941576923076923
massonville,16488.0,18168.0,16947.31,9138.16,10.189228529839884
mtltrust,44495.0,38286.2,32585.16,34522.61,-13.953927407573884
Ontario,281110.0,255213.42,242781.4,144065.32,-9.212258546476468
oshawa,15410.0,15248.32,19218.02,5778.73,-1.0491888384166126
ottawa,30270.0,24048.16,16076.36,20153.35,-20.554476379253387
pacificcentre,16000.0,10743.34,18955.1,,-32.854125
polopark,16000.0,14490.69,17935.61,,-9.4331875
Quebec,436696.0,294242.47,317892.68,329102.8666677407,-32.62075448366827
REGIONAL_ON,16488.0,16947.31,16947.31,9138.16,2.78572295002426
REGIONAL_QC,65877.0,41301.54,41301.54,15001.48,-37.30506853681862
rivieres,16525.0,12978.82,11821.28,15001.48,-21.45948562783661
scarborough,19656.0,16886.22,22648.37,13791.37,-14.091269841269842
sherbrooke,23684.0,19948.41,20309.95,,-15.772631312278332
sherway,28601.0,21581.87,21670.8,16592.06,-24.54155449110171
squareone,21187.0,20500.67,22976.99,,-3.2393920800490865
stbruno,47386.0,41370.07,44834.65,,-12.695585193939138
stefoy,46417.0,20399.51,21724.84,,-56.05164056272486
uppercanada,19687.0,18349.44,20422.34,16705.81,-6.794128104840758
vaughan,21639.0,10257.14,17583.43,,-52.59882619344702
westedmonton,15500.0,12267.05,10276.6,,-20.857741935483872
