store,budget_sales,sales 2019,sales 2018,sales 2017,budget_diff
uppercanada,535959.0,511617.68,318178.8667815116,,-4.5416384462244315
polopark,44137.0,76149.54,,,72.52994086594015
REGIONAL_ON,527286.0,538221.93,538221.93,165445.37951272333,2.0740034819813156
scarborough,563634.0,484377.05,525840.97,,-14.061775904221534
ottawa,963029.0,666857.41,983601.32,334810.8815479861,-30.754171473548563
guildford,177419.0,85794.92,,,-51.64276655826039
dix30,1769066.0,1353488.52,2561363.86,960940.6946834942,-23.491349672652124
gcapitale,1406296.0,840396.05,741885.92,,-40.2404579121323
gatineau,516866.0,321053.01,,,-37.88467223613083
eatonto,1202022.0,1192239.57,1352567.9,401187.5872871172,-0.8138311944373731
rivieres,525148.0,401983.33,504178.13,,-23.45332553870528
limeridge,824250.0,627261.55,824376.38,,-23.899114346375494
anjou,1090496.0,879681.21,1018643.54,,-19.332009470919655
massonville,527286.0,484833.49,538221.93,165445.37951272333,-8.051135436935553
sherbrooke,661810.0,733878.54,,,10.889611822124175
oshawa,446368.0,449858.72,263204.49,,0.7820273854756613
bayshore,514977.0,477243.21,370920.74,,-7.327276752165631
squareone,534695.0,315033.67,,,-41.08161288211036
pacificcentre,53448.0,63200.57,,,18.246838048196377
marketmall,143901.0,245215.62,,,70.40577897304397
stefoy,840106.0,657940.3316007161,,,-21.683652824677356
mapleview,553141.0,521496.91,,,-5.72079994070228
westedmonton,90044.0,77820.68,,,-13.574830083070498
sherway,812193.0,580323.35,607359.56,,-28.54859005187191
vaughan,394475.0,156972.78,,,-60.20716648710311
GTA,5866737.0,3891528.1667815116,3891528.1667815116,401187.5872871172,-33.66792875185113
mtltrust,1325234.0,1275250.4,1825626.37,113217.02,-3.7716810767004167
Fairview,609792.0,600410.4,712630.3091891892,499333.4761347613,-1.5384918136020151
Grand_Total,21191146.0,20137105.460707027,19455115.605714332,7804067.374780206,-4.973966671236055
stbruno,1566299.0,1333376.36,338553.46,,-14.870892466891698
GOA,1994872.0,1354522.06,1354522.06,334810.8815479861,-32.099800889480626
Ontario,7872029.0,5784272.156781511,6468115.39,901443.8483478266,-26.521203659418536
chicoutimi,835286.0,498316.92,36337.69,,-40.34176078612595
laval,1663769.0,1453679.82,2119335.41,1507143.793125898,-12.627304631832905
REGIONAL_QC,2022244.0,540515.82,540515.82,,-73.27148355984738
GMA,8024656.0,8642307.121733064,8642307.121733064,3791103.5367529853,7.696917123089938
GQA,2246402.0,741885.92,741885.92,,-66.97448097001337
Quebec,12810168.0,9924708.861733064,10398400.640841534,6901466.928333664,-22.5247564143338
