district,retail_sales 2019-P08,retail_sales 2019-P07,retail_sales 2018-P08,webcs_sales 2019-P08,webcs_sales 2019-P07,webcs_sales 2018-P08,total_sales 2019-P08,total_sales 2018-P08
International,1102.25,,1388.75,3497.5,4831.1,10117.7,4599.75,11506.45
United States,1903.0,5306.25,2731.0,75578.49,66474.5,157442.05,77481.49,148770.45
Saskatchewan,1012.0,524.6,195.0,2070.9,634.65,1585.6,3082.9,1780.6
Quebec,1243214.73,1325176.06,892257.28,138188.64,120595.64,114403.64,1381403.37,1006660.92
New Brunswick,1407.35,1558.6,145.0,1897.63,568.85,252.91,3304.98,397.91
New York,673.75,895.0,1267.5,8255.9,7093.5,15117.4,8929.65,16384.9
Alberta,144737.88,104388.13,2283.1,11512.29,7832.1,14140.32,156250.17,16423.42
Prince Edward Island,,,,145.0,627.5,,,
Texas,537.5,,,5030.0,3446.0,11402.6,5567.5,
Rest of US,1355.5,3421.25,1311.5,48508.64,44191.5,96632.05,49864.14,97943.55
Ontario,952849.57,871861.8,668228.34,84901.95,67095.51,54309.73,1037751.52,722538.07
Nova Scotia,1829.8,220.0,2177.5,1915.87,2610.8,1880.7,3745.67,4058.2
California,-663.75,990.0,152.0,13783.95,11743.5,34290.0,13120.2,34442.0
Manitoba,49011.11,327.85,378.25,4197.57,1538.03,3069.7,53208.68,3447.95
Yukon,451.0,415.0,,262.5,,526.35,713.5,
British Columbia,82192.78,37125.76,2102.85,8923.75,5838.02,6848.3,91116.53,8951.15
Canada,2477408.72,2342357.8,1568697.77,254381.1,207441.67,198161.59,2731644.82,1766333.01
Rest of CAN,702.5,760.0,930.45,365.0,100.57,1144.34,1067.5,2074.79
