store,traffic,orders,conversion,sales,dpt,units,upt,tphw,sphw
anjou,1628,111.0,0.06818181818181818,22999.18,207.19981981981982,121.0,1.09009009009009,15.7802907915994,222.932277867528
bayshore,916,64.0,0.06986899563318777,10222.64,159.72875,73.0,1.140625,13.0732635585157,145.898763082778
chicoutimi,1175,58.0,0.04936170212765958,16809.47,289.81844827586207,61.0,1.0517241379310345,20.0854700854701,287.341367521368
COMP_ONT,10667,699.0,0.06552920221243086,148424.55,212.33841201716737,777.0,1.111587982832618,14.4585008810374,201.180883748249
COMP_QUE,11231,1190.0,0.10595672691657021,238433.7037753692,200.3644569540918,1340.0,1.1260504201680672,17.8010830801744,377.916318228032
COMP_TOTAL,21898,1890.0,0.08630925198648279,387142.2537753692,204.83717130971917,2118.0,1.1206349206349207,15.9993180794194,282.857432648435
dix30,756,131.0,0.17328042328042328,34642.47,264.4463358778626,154.0,1.1755725190839694,9.31416837782341,426.806611909651
eatonto,2578,164.0,0.06361520558572537,33214.9,202.5298780487805,179.0,1.0914634146341462,16.7384482198896,215.65782923926
Fairview,1260,72.0,0.05714285714285714,14592.26,202.67027777777778,78.0,1.0833333333333333,18.0214541120381,208.709320619786
fairviewmall,0,,,,,,,0.0,
gatineau,1043,47.0,0.045062320230105465,11649.01,247.85127659574468,53.0,1.127659574468085,23.3507462686567,260.798731343284
gcapitale,1649,112.0,0.06791995148574893,26094.44,232.98607142857142,124.0,1.1071428571428572,17.0439276485788,269.709974160207
GMA,10760,840.0,0.07806691449814127,190871.31,227.22775,939.0,1.1178571428571429,18.6740715029504,331.25878167303
GOA_ON,2187,151.0,0.06904435299497028,27752.69,183.79264900662253,172.0,1.1390728476821192,12.9153543307087,163.893838582677
GOA_QC,1043,47.0,0.045062320230105465,11649.01,247.85127659574468,53.0,1.127659574468085,23.3507462686567,260.798731343284
GQA,3279,210.0,0.06404391582799634,50825.55,242.02642857142857,232.0,1.1047619047619048,19.7233082706767,305.717593984963
Grand_Total,37763,2771.0,0.07337870402245585,589596.4437753692,212.77388804596507,3105.0,1.120534103211837,17.1935256220548,268.443756129656
GTA,10643,632.0,0.05938175326505685,134845.33,213.36286392405063,704.0,1.1139240506329113,14.9392911451632,189.27874137326
guildford,796,40.0,0.05025125628140704,6806.41,170.16025,45.0,1.125,19.1653290529695,163.878250401284
laval,2632,201.0,0.07636778115501519,44343.9,220.61641791044775,216.0,1.0746268656716418,18.3308183401045,308.837376668601
limeridge,1207,93.0,0.07705053852526926,20477.63,220.18956989247312,102.0,1.096774193548387,13.6025544703231,230.777197595793
mapleview,1024,58.0,0.056640625,10555.61,181.99327586206897,64.0,1.103448275862069,12.3274478330658,127.073956661316
marketmall,1546,83.0,0.0536869340232859,18523.28,223.1720481927711,100.0,1.2048192771084336,19.1890773686388,229.912453454696
massonville,910,76.0,0.08351648351648351,16192.51,213.05934210526317,81.0,1.0657894736842104,13.0465949820789,232.150681003584
mtltrust,2438,159.0,0.06521739130434782,32865.11,206.69880503144654,183.0,1.150943396226415,25.4843205574913,343.537735191638
Ontario,13740,859.0,0.06251819505094615,178790.53,208.13798603026774,957.0,1.1140861466821885,14.4403573305307,187.903867577509
oshawa,872,65.0,0.07454128440366972,15401.24,236.94215384615384,74.0,1.1384615384615384,11.673360107095,206.174564926372
ottawa,1271,87.0,0.06845003933910307,17530.05,201.4948275862069,99.0,1.1379310344827587,12.8038952316991,176.595533915379
pacificcentre,1399,56.0,0.040028591851322376,11126.78,198.6925,64.0,1.1428571428571428,29.3804690234512,233.674063703185
polopark,1378,73.0,0.05297532656023222,14469.38,198.21068493150685,81.0,1.1095890410958904,18.2637508283632,191.774420145792
Quebec,18177,1618.0,0.08901358860097926,350396.16377536923,216.56128787105638,1813.0,1.1205191594561188,19.376054861691,373.510221303714
REGIONAL_ON,910,76.0,0.08351648351648351,16192.51,213.05934210526317,81.0,1.0657894736842104,13.0465949820789,232.150681003584
REGIONAL_QC,3095,185.0,0.05977382875605816,49337.07,266.68686486486484,196.0,1.0594594594594595,20.4966887417219,326.735562913907
rivieres,868,61.0,0.07027649769585254,14742.82,241.6855737704918,64.0,1.0491803278688525,21.344262295082,362.528360655738
scarborough,965,47.0,0.04870466321243523,12432.7,264.52553191489363,54.0,1.148936170212766,18.6413393432067,240.16806181584
sherbrooke,1052,66.0,0.06273764258555133,17784.78,269.4663636363636,71.0,1.0757575757575757,20.2958199356913,343.114726688103
sherway,1112,53.0,0.047661870503597124,10138.63,191.29490566037737,58.0,1.0943396226415094,16.8825910931174,153.926568825911
squareone,1266,64.0,0.05055292259083728,13092.14,204.5646875,72.0,1.125,16.7275930411804,172.985774058577
stbruno,2046,159.0,0.07771260997067449,40988.09,257.78672955974844,180.0,1.1320754716981132,24.7400241837969,495.623821039903
stefoy,1630,98.0,0.06012269938650307,24731.11,252.35826530612246,108.0,1.1020408163265305,23.4532374100719,355.843309352518
uppercanada,836,50.0,0.05980861244019139,12814.25,256.285,57.0,1.14,13.5714285714286,208.023538961039
vaughan,783,38.0,0.04853128991060025,6718.23,176.7955263157895,44.0,1.1578947368421053,14.2406789936344,122.186662625038
West,5844,294.0,0.05029079712624016,60409.75,205.47534013605443,335.0,1.1394557823129252,19.0589002390785,196.945500978048
West,5846,294.0,0.05029079712624016,60409.75,205.47534013605443,335.0,1.1394557823129252,19.0589002390785,196.945500978048
westedmonton,727,41.0,0.05639614855570839,9199.9,224.38780487804877,44.0,1.0731707317073171,11.8083378451543,149.429886302112
