district,retail_orders 2019-Q4,retail_orders 2019-Q3,retail_orders 2018-Q4,webcs_orders 2019-Q4,webcs_orders 2019-Q3,webcs_orders 2018-Q4,total_orders 2019-Q4,total_orders 2018-Q4
Alberta,127.0,1866.0,13.0,11.0,238.0,146.0,138.0,159.0
Quebec,1283.0,18592.0,16129.0,125.0,3484.0,1830.0,1408.0,17959.0
British Columbia,93.0,1024.0,7.0,10.0,192.0,110.0,103.0,117.0
International,,20.0,21.0,7.0,118.0,190.0,,211.0
New Brunswick,,19.0,9.0,1.0,37.0,20.0,,29.0
New York,,12.0,3.0,6.0,236.0,291.0,,294.0
Manitoba,73.0,620.0,3.0,2.0,67.0,47.0,75.0,50.0
California,,4.0,3.0,21.0,453.0,666.0,,669.0
Ontario,857.0,13448.0,9774.0,66.0,1985.0,849.0,923.0,10623.0
Rest of US,2.0,44.0,20.0,68.0,1463.0,2143.0,70.0,2163.0
United States,2.0,63.0,28.0,109.0,2318.0,3338.0,70.0,3366.0
Rest of CAN,,8.0,5.0,3.0,11.0,7.0,,12.0
Canada,2433.0,35588.0,25943.0,220.0,6050.0,3038.0,2647.0,28981.0
Saskatchewan,,11.0,3.0,2.0,36.0,29.0,,32.0
Texas,,3.0,2.0,14.0,166.0,238.0,,240.0
