store,budget_upt,upt 2019-W40,upt 2019-W39,upt 2018-W40,budget_diff,yoy
anjou,1.0609756097560976,1.091743119266055,1.264957264957265,1.0080645161290323,2.899926183697134,8.300917431192651
bayshore,1.075268817204301,1.1451612903225805,1.347222222222222,1.0579710144927537,6.499999999999994,8.241272646928854
chicoutimi,1.0564516129032258,1.0535714285714286,1.1428571428571428,,-0.2726281352235518,
COMP_ONT,1.0780017528483785,1.11044776119403,1.28125,1.094155844155844,3.009828904259198,1.4889941981487227
COMP_QUE,1.0586712683347714,1.1254355400696865,1.235906331309627,1.1123949579831933,6.3064214295653205,1.1722978419585866
COMP_TOTAL,1.0682608695652174,1.119846069268829,1.2535733192165166,1.107936507936508,4.828895373150455,1.0749317534902998
dix30,1.0585774058577406,1.184,1.2846153846153845,1.0854700854700856,11.848221343873517,9.077165354330706
eatonto,1.0790697674418606,1.0769230769230769,1.21301775147929,1.080536912751678,-0.1989389920424457,-0.3344481605351236
Fairview,1.0555555555555556,1.0833333333333333,1.1868131868131868,1.0657894736842104,2.6315789473684137,1.6460905349794233
gatineau,1.0591715976331362,1.127659574468085,1.1733333333333333,,6.466183287768928,
gcapitale,1.0598802395209581,1.1009174311926606,1.176991150442478,1.0869565217391304,3.8718706266521568,1.2844036697247785
GMA,1.058614564831261,1.116851168511685,1.2293577981651376,1.06318347509113,5.501209374509851,5.047829906870497
GOA_ON,1.0753968253968254,1.1468531468531469,1.2516129032258065,1.0919540229885056,6.644646866049084,5.027603974972405
GOA_QC,1.0591715976331362,1.127659574468085,1.1733333333333333,,6.466183287768928,
GQA,1.0578512396694215,1.102439024390244,1.148936170212766,1.0869565217391304,4.214939024390242,1.424390243902442
Grand_Total,1.0681573275862069,1.120387625792024,1.2459762071378586,1.0982183645500228,4.889757047666903,2.0186569408793846
GTA,1.0786948176583493,1.1103789126853376,1.2637853949329358,1.120792079207921,2.9372621902243696,-0.9290899459195169
guildford,1.0875,1.125,1.25,,3.4482758620689653,
laval,1.0593220338983051,1.077319587628866,1.2054054054054053,1.0909090909090908,1.6989690721649489,-1.2457044673539492
limeridge,1.08,1.101123595505618,1.4025974025974026,1.2,1.9558884727424075,-8.239700374531834
mapleview,1.077922077922078,1.1052631578947367,1.2142857142857142,,2.536461636017753,
marketmall,1.0754716981132075,1.2073170731707317,1.3883495145631068,,12.259306803594356,
massonville,1.0804597701149425,1.0666666666666667,1.3783783783783785,1.0925925925925926,-1.2765957446808454,-2.372881355932201
mtltrust,1.0572916666666667,1.1333333333333333,1.2075471698113207,1.0445859872611465,7.192118226600979,8.49593495934959
Ontario,1.0782041998551775,1.1127272727272728,1.271111111111111,1.111869031377899,3.2019048781976904,0.07718906860011314
oshawa,1.0740740740740742,1.1428571428571428,1.3225806451612903,1.1,6.403940886699509,3.8961038961039
ottawa,1.0754716981132075,1.1481481481481481,1.1686746987951806,1.1142857142857143,6.757634827810267,3.0389363722697
pacificcentre,1.0869565217391304,1.1454545454545455,1.1754385964912282,,5.381818181818189,
polopark,1.0819672131147542,1.1111111111111112,1.3285714285714285,,2.6936026936026924,
Quebec,1.058312020460358,1.1206126356094448,1.2234871180347513,1.0913461538461537,5.886790846615007,2.68168643469803
REGIONAL_ON,1.0804597701149425,1.0666666666666667,1.3783783783783785,1.0925925925925926,-1.2765957446808454,-2.372881355932201
REGIONAL_QC,1.057239057239057,1.0611111111111111,1.196969696969697,1.064516129032258,0.36624203821656315,-0.31986531986532424
rivieres,1.056338028169014,1.0491803278688525,1.15,1.064516129032258,-0.6775956284152981,-1.4406358668653745
scarborough,1.0784313725490196,1.148936170212766,1.1379310344827587,1.1578947368421053,6.537717601547394,-0.7736943907156668
sherbrooke,1.0588235294117647,1.0793650793650793,1.3114754098360657,,1.9400352733686106,
sherway,1.0794701986754967,1.1,1.372093023255814,1.127659574468085,1.901840490797545,-2.4528301886792447
squareone,1.0824742268041236,1.1147540983606556,1.178082191780822,,2.982045277127242,
stbruno,1.0585365853658537,1.1337579617834395,1.2375690607734806,,7.106166896592207,
stefoy,1.0561224489795917,1.1041666666666667,1.1229508196721312,,4.549114331723034,
uppercanada,1.0776699029126213,1.127659574468085,1.2363636363636363,1.05,4.638681234425911,7.396149949341438
vaughan,1.0757575757575757,1.1621621621621623,1.342857142857143,,8.03197563760944,
West,1.0824468085106382,1.140893470790378,1.2975778546712804,,5.399495090216739,
westedmonton,1.0843373493975903,1.0731707317073171,1.2,,-1.029810298102982,
