district,retail_sales 2019,retail_sales 2018,retail_sales 2017,webcs_sales 2019,webcs_sales 2018,webcs_sales 2017,total_sales 2019,total_sales 2018
Prince Edward Island,122.5,,299.0,1564.28,623.4,702.0,1686.78,
Quebec,11495533.19,9997756.26,3825934.99,1033599.71,1153539.4,953004.6,12529132.9,11151295.66
British Columbia,217500.9,9539.75,3902.77,58369.96,65946.7,45531.25,275870.86,75486.45
Canada,19441463.58,15671145.04,4672998.43,1801748.66,1846623.81,1301600.98,21243212.24,17517145.45
Manitoba,137571.82,3458.5,934.75,22058.46,24153.5,13228.05,159630.28,27612.0
Texas,807.5,305.0,48.0,60652.1,114699.06,94848.26,61459.6,115004.06
International,12817.03,14373.98,6720.93,48522.92,92322.51,101944.78,61339.95,106696.49
Ontario,7127757.44,5627395.74,827409.01,552009.65,456653.28,197392.82,7679767.09,6084049.02
Alberta,437609.2,11076.64,7307.65,84449.18,93129.7,65531.99,522058.38,104206.34
New Brunswick,8726.98,4378.45,2021.94,12108.13,10719.48,5427.36,20835.11,15097.93
California,2808.0,4076.5,660.0,172120.1,304077.35,282155.24,174928.1,308153.85
Rest of US,18912.0,17639.25,9191.59,515456.0,867157.71,777879.27,534368.0,884796.96
New York,5811.81,4211.5,1370.24,77990.2,125883.75,112673.65,83802.01,130095.25
Yukon,713.75,535.0,,631.65,1335.6,299.7,1345.4,1870.6
United States,28339.31,26232.25,11269.83,826218.4,1411817.87,1267556.42,854557.71,1438050.12
Saskatchewan,4236.6,1336.9,1477.25,14256.7,17570.35,7676.45,18493.3,18907.25
Nova Scotia,7356.25,11003.25,2186.72,18386.37,17169.95,9511.0,25742.62,28173.2
Rest of CAN,4334.95,4664.55,1524.35,4314.57,5782.45,3295.76,8649.52,10447.0
