store,tphw 2019,tphw 2018,tphw 2017
Alberta,,,
anjou,9.98019373689515,9.98019373689515,
bayshore,4.77577579929056,4.77577579929056,
British Columbia,,,
chicoutimi,0.846642165051787,0.846642165051787,
dix30,8.55984670785291,8.55984670785291,
eatonto,10.5960890031497,10.5960890031497,
Fairview,7.70210649249533,7.70210649249533,
gatineau,,,
GCA,,,
gcapitale,6.26433685870064,6.26433685870064,
GEA,,,
GMA,9.80763235723336,9.80763235723336,
GOA,5.7708141463854,5.7708141463854,
GQA,3.75869594064623,3.75869594064623,
Grand_Total,6.32174789959148,6.32174789959148,
GTA,5.71147026716731,5.71147026716731,
guildford,,,
GVA,,,
GWA,,,
laval,14.1413788281359,14.1413788281359,
limeridge,7.16748124722301,7.16748124722301,
Manitoba,,,
mapleview,,,
marketmall,,,
massonville,6.19658681983833,6.19658681983833,
mtltrust,14.5087780060594,14.5087780060594,
Ontario,6.03680122278828,6.03680122278828,
oshawa,4.57736410213953,4.57736410213953,
ottawa,9.77383598315664,9.77383598315664,
pacificcentre,,,
polopark,,,
Quebec,7.16616221950803,7.16616221950803,
REGIONAL_ON,6.19658681983833,6.19658681983833,
REGIONAL_QC,2.93767908908656,2.93767908908656,
rivieres,10.4879669573199,10.4879669573199,
scarborough,8.67728692642155,8.67728692642155,
sherbrooke,,,
sherway,7.70821714073247,7.70821714073247,
squareone,,,
stbruno,2.14442967295932,2.14442967295932,
stefoy,,,
uppercanada,3.96788426690493,3.96788426690493,
vaughan,,,
westedmonton,,,
